PlayerID,Player,Pos,Age,Tm,Year,G,GS,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,TARGET
mccrach01,Chris McCray,SG,22,MIL,2007,5,0,12,0,0,3,0,0,0,NA,0,3,0,0,0,0,NA,0,0,0,0,0,0,2,1,FALSE
mccraro01,Rodney McCray,SF,22,HOU,1984,79,36,2081,853,335,672,0.49851190476190477,1,4,0.25,334,668,0.5,0.4992559523809524,182,249,0.7309236947791165,173,277,450,176,53,54,120,205,TRUE
mccrasc01,Scooter McCray,PF,23,SEA,1984,47,6,520,129,47,121,0.3884297520661157,0,0,NA,47,121,0.3884297520661157,0.3884297520661157,35,50,0.7,45,70,115,44,11,19,34,73,FALSE
mcculch01,Chris McCullough,PF,20,BRK,2016,24,4,362,112,44,109,0.4036697247706422,13,34,0.38235294117647056,31,75,0.41333333333333333,0.463302752,11,23,0.4782608695652174,25,43,68,9,28,12,15,39,FALSE
mcculjo01,John McCullough,SG,25,PHO,1982,8,0,23,21,9,13,0.6923076923076923,0,0,NA,9,13,0.6923076923076923,0.6923076923076923,3,5,0.6,1,3,4,3,2,0,3,3,FALSE
mcdancl01,Clint McDaniel,SG,23,SAC,1996,12,0,71,30,8,23,0.34782608695652173,2,6,0.3333333333333333,6,17,0.35294117647058826,0.391304348,12,16,0.75,3,7,10,7,5,0,2,10,FALSE
mcdankj01,K.J. McDaniels,SG,21,PHI/HOU,2015,62,15,1352,487,172,434,0.39631336405529954,43,150,0.2866666666666667,129,284,0.45422535211267606,0.44585253456221197,100,133,0.7518796992481203,65,135,200,72,44,70,105,126,FALSE
mcdanxa01,Xavier McDaniel,SF,22,SEA,1986,82,80,2706,1404,576,1176,0.4897959183673469,2,10,0.2,574,1166,0.4922813036020583,0.4906462585034014,250,364,0.6868131868131868,307,348,655,193,101,37,248,305,TRUE
mcderdo01,Doug McDermott,SF,23,CHI,2015,36,0,321,109,43,107,0.40186915887850466,13,41,0.3170731707317073,30,66,0.45454545454545453,0.46261682242990654,10,15,0.6666666666666666,6,37,43,6,4,1,17,29,TRUE
mcdonbe01,Ben McDonald,SF,23,CLE,1986,21,0,266,61,28,58,0.4827586206896552,0,1,0,28,57,0.49122807017543857,0.4827586206896552,5,8,0.625,15,23,38,9,7,1,10,30,FALSE
mcdonmi01,Michael McDonald,C,28,CHH,1998,1,0,4,0,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,1,0,1,0,0,0,2,1,FALSE
mcdowha01,Hank McDowell,PF,22,GSW,1982,30,1,335,95,34,84,0.40476190476190477,0,0,NA,34,84,0.40476190476190477,0.40476190476190477,27,41,0.6585365853658537,41,59,100,20,6,8,21,52,TRUE
mcdyean01,Antonio McDyess,PF,21,DEN,1996,76,75,2280,1020,427,881,0.48467650397275824,0,4,0,427,877,0.4868871151653364,0.48467650397275824,166,243,0.6831275720164609,229,343,572,75,54,114,154,250,TRUE
mcfariv01,Ivan McFarlin,PF,24,PHI,2007,11,0,41,15,5,13,0.38461538461538464,0,1,0,5,12,0.4166666666666667,0.38461538461538464,5,7,0.7142857142857143,7,4,11,1,0,0,1,8,FALSE
mcgarmi01,Mitch McGary,PF,22,OKC,2015,32,2,485,201,88,165,0.5333333333333333,0,2,0,88,163,0.5398773006134969,0.5333333333333333,25,40,0.625,53,112,165,14,16,16,31,72,FALSE
mcgeeja01,JaVale McGee,C,21,WAS,2009,75,14,1143,489,191,387,0.4935400516795866,0,0,NA,191,387,0.4935400516795866,0.4935400516795866,107,162,0.6604938271604939,120,174,294,23,33,75,61,155,TRUE
mcgeemi01,Mike McGee,SF,22,LAL,1982,39,0,352,191,80,172,0.46511627906976744,0,4,0,80,168,0.47619047619047616,0.46511627906976744,31,53,0.5849056603773585,34,15,49,16,18,3,34,59,TRUE
mcgratr01,Tracy McGrady*,SF,18,TOR,1998,64,17,1179,451,179,398,0.44974874371859297,14,41,0.34146341463414637,165,357,0.46218487394957986,0.46733668341708545,79,111,0.7117117117117117,105,164,269,98,49,61,66,86,TRUE
mcgruro01,Rodney McGruder,SG,25,MIA,2017,78,65,1966,497,190,460,0.41304347826086957,73,220,0.33181818181818185,117,240,0.4875,0.4923913043478261,44,71,0.6197183098591549,94,162,256,124,46,18,56,140,TRUE
mcguido01,Dominic McGuire,SG,22,WAS,2008,70,1,695,93,39,103,0.3786407766990291,1,6,0.16666666666666666,38,97,0.3917525773195876,0.38349514563106796,14,32,0.4375,53,86,139,40,20,26,40,76,TRUE
mchalke01,Kevin McHale*,PF,23,BOS,1981,82,1,1645,818,355,666,0.5330330330330331,0,2,0,355,664,0.5346385542168675,0.5330330330330331,108,159,0.6792452830188679,155,204,359,55,27,151,110,260,TRUE
mcilvji01,Jim McIlvaine,C,22,WSB,1995,55,0,534,96,34,71,0.4788732394366197,0,0,NA,34,71,0.4788732394366197,0.4788732394366197,28,41,0.6829268292682927,40,65,105,10,10,60,19,95,TRUE
mcinnje01,Jeff McInnis,PG,22,DEN,1997,13,0,117,65,23,49,0.46938775510204084,12,26,0.46153846153846156,11,23,0.4782608695652174,0.5918367346938775,7,10,0.7,2,4,6,18,2,1,13,16,TRUE
mckenfo01,Forrest McKenzie,SF,23,SAS,1987,6,0,42,17,7,28,0.25,1,2,0.5,6,26,0.23076923076923078,0.26785714285714285,2,2,1,2,5,7,1,1,0,3,9,FALSE
mckenke01,Kevin McKenna,SG,23,LAL,1982,36,0,237,67,28,87,0.3218390804597701,0,2,0,28,85,0.32941176470588235,0.3218390804597701,11,17,0.6470588235294118,18,11,29,14,10,2,20,45,TRUE
mckeyde01,Derrick McKey,SF,21,SEA,1988,82,4,1706,694,255,519,0.4913294797687861,11,30,0.36666666666666664,244,489,0.49897750511247446,0.5019267822736031,173,224,0.7723214285714286,115,213,328,107,70,63,108,237,TRUE
mckieaa01,Aaron McKie,SG,22,POR,1995,45,20,827,293,116,261,0.4444444444444444,11,28,0.39285714285714285,105,233,0.45064377682403434,0.46551724137931033,50,73,0.684931507,35,94,129,89,36,16,39,97,TRUE
mckinca01,Carlton McKinney,SG,25,LAC,1990,7,0,104,18,8,32,0.25,0,1,0,8,31,0.25806451612903225,0.25,2,4,0.5,4,8,12,7,6,1,7,15,FALSE
mclembe01,Ben McLemore,SG,20,SAC,2014,82,55,2187,720,255,679,0.3755522827687776,95,297,0.31986531986531985,160,382,0.418848168,0.44550810014727543,115,143,0.8041958041958042,53,182,235,82,45,18,96,201,TRUE
mcleoke01,Keith McLeod,PG,24,MIN,2004,33,0,391,88,27,82,0.32926829268292684,1,10,0.1,26,72,0.3611111111111111,0.3353658536585366,33,43,0.7674418604651163,5,29,34,59,16,1,29,39,FALSE
